"datetime","AQI","CO","NO2","O3","PM10","PM25","SO2","timestamp_local","timestamp_utc","ts"
"2022-01-12:17","141","290","5.3","30","71.7","50.67","55","2022-01-13T00:00:00","2022-01-12T17:00:00","1644685200"
"2022-01-12:18","150","319","6.3","27","76","54","62","2022-01-13T01:00:00","2022-01-12T18:00:00","1644681600"
"2022-01-12:19","150","328","7.3","26","76.3","54","57.3","2022-01-13T02:00:00","2022-01-12T19:00:00","1644678000"
"2022-01-12:20","150","329","8.3","25","76.7","54","52.7","2022-01-13T03:00:00","2022-01-12T20:00:00","1644674400"
"2022-01-12:21","150","330","9.3","24","77","54","48","2022-01-13T04:00:00","2022-01-12T21:00:00","1644670800"
"2022-01-12:22","143","306.7","10.3","28.3","73.3","51.33","39.7","2022-01-13T05:00:00","2022-01-12T22:00:00","1644667200"
"2022-01-12:23","136","267.3","18.3","32.7","69.7","48.67","31.3","2022-01-13T06:00:00","2022-01-12T23:00:00","1644663600"
"2022-01-13:00","129","228","14","37","66","46","23","2022-01-13T07:00:00","2022-01-13T00:00:00","1644660000"
"2022-01-13:01","108","187","10","50","55.7","38.33","18.7","2022-01-13T08:00:00","2022-01-13T01:00:00","1644656400"
"2022-01-13:02","90","146","6","63","45.3","30.67","14.3","2022-01-13T09:00:00","2022-01-13T02:00:00","1644652800"
"2022-01-13:03","74","105","2","76","35","23","10","2022-01-13T10:00:00","2022-01-13T03:00:00","1644649200"
"2022-01-13:04","71","101.3","1.7","78","33","21.67","9.3","2022-01-13T11:00:00","2022-01-13T04:00:00","1644645600"
"2022-01-13:05","68","97.7","1.3","80","31","20.33","8.7","2022-01-13T12:00:00","2022-01-13T05:00:00","1644642000"
"2022-01-13:06","65","94","1","82","29","19","8","2022-01-13T13:00:00","2022-01-13T06:00:00","1644638400"
"2022-01-13:07","64","94.7","1","81.3","28.7","18.67","8.3","2022-01-13T14:00:00","2022-01-13T07:00:00","1644634800"
"2022-01-13:08","64","95.3","1","80.7","28.3","18.33","8.7","2022-01-13T15:00:00","2022-01-13T08:00:00","1644631200"
"2022-01-13:09","63","96","1","80","28","18","9","2022-01-13T16:00:00","2022-01-13T09:00:00","1644627600"
"2022-01-13:10","70","111.3","3.3","71.7","32.3","21.33","13.7","2022-01-13T17:00:00","2022-01-13T10:00:00","1644624000"
"2022-01-13:11","77","126.7","5.7","63.3","36.7","24.67","18.3","2022-01-13T18:00:00","2022-01-13T11:00:00","1644620400"
"2022-01-13:12","85","142","8","55","41","28","23","2022-01-13T19:00:00","2022-01-13T12:00:00","1644616800"
"2022-01-13:13","95","171.7","11.3","49.3","47.7","33","28","2022-01-13T20:00:00","2022-01-13T13:00:00","1644613200"
"2022-01-13:14","107","201.3","14.7","43.7","54.3","38","33","2022-01-13T21:00:00","2022-01-13T14:00:00","1644609600"
"2022-01-13:15","121","231","18","38","61","43","38","2022-01-13T22:00:00","2022-01-13T15:00:00","1644606000"
"2022-01-13:16","125","251.7","19","36","63.7","44.67","45","2022-01-13T23:00:00","2022-01-13T16:00:00","1644602400"
"2022-01-13:17","130","272.3","20","34","66.3","46.33","52","2022-01-14T00:00:00","2022-01-13T17:00:00","1644598800"
"2022-01-13:18","134","293","21","32","69","48","59","2022-01-14T01:00:00","2022-01-13T18:00:00","1644595200"
"2022-01-13:19","139","315.7","22","30","71.3","49.67","55.3","2022-01-14T02:00:00","2022-01-13T19:00:00","1644591600"
"2022-01-13:20","143","316.7","23","28","73.7","51.33","51.7","2022-01-14T03:00:00","2022-01-13T20:00:00","1644588000"
"2022-01-13:21","148","317.7","24","26","76","53","48","2022-01-14T04:00:00","2022-01-13T21:00:00","1644584400"
"2022-01-13:22","143","322.7","25","30.7","73.3","51.33","39.3","2022-01-14T05:00:00","2022-01-13T22:00:00","1644580800"
"2022-01-13:23","139","284.3","26","35.3","70.7","49.67","30.7","2022-01-14T06:00:00","2022-01-13T23:00:00","1644577200"
"2022-01-14:00","134","246","19","40","68","48","22","2022-01-14T07:00:00","2022-01-14T00:00:00","1644573600"
"2022-01-14:01","109","198","13.3","54.3","55.3","38.67","17.3","2022-01-14T08:00:00","2022-01-14T01:00:00","1644570000"
"2022-01-14:02","87","150","7.7","68.7","42.7","29.33","12.7","2022-01-14T09:00:00","2022-01-14T02:00:00","1644566400"
"2022-01-14:03","67","102","2","83","30","20","8","2022-01-14T10:00:00","2022-01-14T03:00:00","1644562800"
