datetime,AQI,CO,NO2,O3,PM10,PM25,SO2,ts,kualitas udara
2022-01-16,105,211,11,55,52,36,28,1644501849,buruk
2022-01-23,96,181,8,58,47,32,23,1644014853,sedang
2022-01-30,96,161,8,54,46,32,22,1643410304,sedang
2022-02-06,91,162,7,55,43,30,19,1642804200,sedang
2022-02-13,100,187,10,50,48,34,24,1642541582,sedang
2022-02-20,83,148,9,48,38,27,20,1646949104,sedang
2022-02-27,96,159,9,49,45,32,21,1646356324,sedang
2022-03-06,86,141,7,46,40,28,21,1645726121,sedang
2022-03-13,85,142,8,39,39,28,21,1645134218,sedang
2022-03-20,89,135,8,52,41,29,24,1649175730,sedang
2022-03-27,89,153,7,51,41,29,23,1649283875,sedang
2022-04-03,91,152,7,56,42,30,21,1648648296,sedang
2022-04-10,63,100,6,38,25,18,18,1648076400,sedang
2022-04-17,96,195,5,91,46,32,22,1648929541,sedang
2022-04-24,92,179,9,53,43,30,25,1652302776,sedang
2022-05-01,83,133,8,49,38,27,26,1651702785,sedang
2022-05-08,90,178,8,80,42,30,30,1651076145,sedang
2022-05-15,89,171,9,74,41,29,31,1650489545,sedang
2022-05-22,91,171,9,74,42,29,34,1654604217,sedang
2022-05-29,85,161,9,59,39,28,24,1654731600,sedang
2022-06-05,72,105,7,52,31,22,24,1654134045,sedang
2022-06-12,96,175,10,70,45,32,27,1653504238,sedang
2022-06-19,101,202,10,75,48,34,29,1653885030,buruk
2022-06-26,100,187,9,83,49,34,25,1657738325,sedang
2022-07-03,88,175,7,94,42,29,40,1657146600,sedang
2022-07-10,76,212,8,94,35,23,17,1656541800,sedang
2022-07-17,68,199,10,78,32,20,12,1655934440,sedang
2022-07-24,80,224,9,105,39,25,14,1660063975,sedang
2022-07-31,77,196,7,102,38,23,13,1660170600,sedang
2022-08-07,77,214,8,105,35,23,26,1659578400,sedang
2022-08-14,88,233,9,109,43,28,20,1658961000,sedang
2022-08-21,73,222,8,108,32,21,13,1659562088,sedang
2022-08-28,75,201,7,103,36,23,10,1663281000,sedang
2022-09-04,54,138,5,65,23,15,4,1662676200,sedang
2022-09-11,61,182,9,65,25,17,7,1662071400,sedang
2022-09-18,81,219,6,105,39,26,16,1661482640,sedang
2022-09-25,85,235,7,105,41,28,8,1664710932,sedang
2022-10-02,71,168,6,76,35,23,8,1665700200,sedang
2022-10-09,44,135,5,53,17,11,4,1665095400,baik
2022-10-16,49,146,5,53,19,13,6,1664490600,baik
2022-10-23,44,135,5,46,17,12,2,1665073216,baik
2022-10-30,31,81,3,40,11,7,0,1668724200,baik
2022-11-06,57,146,6,62,26,16,5,1668119400,sedang
2022-11-13,42,126,5,42,16,11,1,1667514600,baik
2022-11-20,37,112,5,34,13,9,0,1666909800,baik
2022-11-27,27,74,3,30,10,6,1,1670154132,baik
2022-12-04,29,73,3,31,11,7,1,1671143400,baik
2022-12-11,35,108,3,41,13,8,1,1670538600,baik
2022-12-18,39,119,4,49,14,9,0,1669933800,baik
2022-12-25,49,193,5,44,18,13,1,1670073095,baik
2023-01-01,49,202,5,35,17,12,0,1672583964,baik
2023-01-08,49,150,5,38,19,13,0,1674167400,baik
2023-01-15,32,71,2,30,12,7,2,1673562600,baik
2023-01-22,50,138,4,39,19,13,6,1672957800,baik
2023-01-29,47,155,5,46,17,12,0,1675833889,baik
2023-02-05,59,192,6,50,25,17,1,1676673000,sedang
2023-02-12,63,154,6,45,27,18,1,1676068200,sedang
2023-02-19,57,141,5,37,23,15,0,1675463400,sedang
2023-02-26,54,146,4,45,21,14,0,1675150435,sedang
2023-03-05,52,160,4,42,20,13,0,1679524200,sedang
2023-03-12,52,144,5,44,20,13,2,1678919400,sedang
2023-03-19,59,144,7,51,23,16,3,1678314600,sedang
2023-03-26,57,180,8,62,24,15,5,1677720600,sedang
2023-04-02,57,149,5,38,24,16,0,1682344800,sedang
2023-04-09,42,112,4,23,16,11,0,1681770600,baik
2023-04-16,27,73,2,25,10,6,1,1681165800,baik
2023-04-23,59,170,9,66,25,16,6,1680561000,sedang
2023-04-30,64,197,8,78,27,18,7,1682030855,sedang
2023-05-07,49,143,5,62,20,13,5,1684794600,baik
2023-05-14,52,138,6,62,22,14,5,1684189800,sedang
2023-05-21,98,249,8,119,51,33,23,1683585000,sedang
